extent,cluster_id,start_date,end_date,heatwave_start,heatwave_end,time_range,lat_range,lon_range,heatwave_length,month,year,spatial_extent
"{'time_range': (50, 54), 'lat_range': (35.859375, 50.625), 'lon_range': (-8.421052631578968, 7.017543859649096), 'heatwave_length': 5}",1,1940-02-20,1940-02-24,50,54,"(50, 54)","(35.859375, 50.625)","(-8.421052631578968, 7.017543859649096)",5,2,1940,2057853.0
"{'time_range': (71, 73), 'lat_range': (53.4375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",5,1940-03-13,1940-03-15,71,73,"(71, 73)","(53.4375, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,3,1940,21491.0
"{'time_range': (75, 82), 'lat_range': (36.5625, 52.734375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 8}",6,1940-03-17,1940-03-24,75,82,"(75, 82)","(36.5625, 52.734375)","(-9.824561403508792, 9.824561403508744)",8,3,1940,2801454.0
"{'time_range': (77, 84), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 8}",7,1940-03-19,1940-03-26,77,84,"(77, 84)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",8,3,1940,191705.0
"{'time_range': (83, 85), 'lat_range': (54.84375, 54.84375), 'lon_range': (-4.2105263157894965, -0.7017543859649364), 'heatwave_length': 3}",9,1940-03-25,1940-03-27,83,85,"(83, 85)","(54.84375, 54.84375)","(-4.2105263157894965, -0.7017543859649364)",3,3,1940,0.0
"{'time_range': (110, 114), 'lat_range': (40.078125, 54.84375), 'lon_range': (-4.2105263157894965, 9.824561403508744), 'heatwave_length': 5}",10,1940-04-21,1940-04-25,110,114,"(110, 114)","(40.078125, 54.84375)","(-4.2105263157894965, 9.824561403508744)",5,4,1940,1736279.0
"{'time_range': (144, 149), 'lat_range': (39.375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 6}",12,1940-05-25,1940-05-30,144,149,"(144, 149)","(39.375, 54.84375)","(-9.824561403508792, 9.824561403508744)",6,5,1940,2563524.0
"{'time_range': (146, 149), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",13,1940-05-27,1940-05-30,146,149,"(146, 149)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,5,1940,191705.0
"{'time_range': (151, 154), 'lat_range': (35.859375, 42.1875), 'lon_range': (-7.719298245614056, -1.4035087719298485), 'heatwave_length': 4}",14,1940-06-01,1940-06-04,151,154,"(151, 154)","(35.859375, 42.1875)","(-7.719298245614056, -1.4035087719298485)",4,6,1940,384776.0
"{'time_range': (152, 158), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 7}",15,1940-06-02,1940-06-08,152,158,"(152, 158)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",7,6,1940,97776.0
"{'time_range': (153, 161), 'lat_range': (40.078125, 54.84375), 'lon_range': (-1.4035087719298485, 9.824561403508744), 'heatwave_length': 9}",16,1940-06-03,1940-06-11,153,161,"(153, 161)","(40.078125, 54.84375)","(-1.4035087719298485, 9.824561403508744)",9,6,1940,1389024.0
"{'time_range': (167, 171), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.122807017543831), 'heatwave_length': 5}",17,1940-06-17,1940-06-21,167,171,"(167, 171)","(35.15625, 38.671875)","(7.017543859649096, 9.122807017543831)",5,6,1940,73332.0
"{'time_range': (194, 196), 'lat_range': (46.40625, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",19,1940-07-14,1940-07-16,194,196,"(194, 196)","(46.40625, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,7,1940,139645.0
"{'time_range': (199, 202), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",20,1940-07-19,1940-07-22,199,202,"(199, 202)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,7,1940,191705.0
"{'time_range': (206, 209), 'lat_range': (42.1875, 45.703125), 'lon_range': (-7.719298245614056, -3.5087719298245847), 'heatwave_length': 4}",21,1940-07-26,1940-07-29,206,209,"(206, 209)","(42.1875, 45.703125)","(-7.719298245614056, -3.5087719298245847)",4,7,1940,132075.0
"{'time_range': (211, 216), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 6}",23,1940-07-31,1940-08-05,211,216,"(211, 216)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",6,7,1940,97776.0
"{'time_range': (218, 224), 'lat_range': (35.859375, 47.8125), 'lon_range': (-9.824561403508792, -1.4035087719298485), 'heatwave_length': 7}",25,1940-08-07,1940-08-13,218,224,"(218, 224)","(35.859375, 47.8125)","(-9.824561403508792, -1.4035087719298485)",7,8,1940,929360.0
"{'time_range': (227, 235), 'lat_range': (35.859375, 40.78125), 'lon_range': (-9.824561403508792, -1.4035087719298485), 'heatwave_length': 9}",26,1940-08-16,1940-08-24,227,235,"(227, 235)","(35.859375, 40.78125)","(-9.824561403508792, -1.4035087719298485)",9,8,1940,402965.0
"{'time_range': (243, 250), 'lat_range': (40.78125, 54.84375), 'lon_range': (-3.5087719298245847, 9.824561403508744), 'heatwave_length': 8}",27,1940-09-01,1940-09-08,243,250,"(243, 250)","(40.78125, 54.84375)","(-3.5087719298245847, 9.824561403508744)",8,9,1940,1560385.0
"{'time_range': (245, 248), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 4}",28,1940-09-03,1940-09-06,245,248,"(245, 248)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",4,9,1940,97776.0
"{'time_range': (265, 270), 'lat_range': (52.03125, 54.84375), 'lon_range': (-4.2105263157894965, 1.4035087719297996), 'heatwave_length': 6}",29,1940-09-23,1940-09-28,265,270,"(265, 270)","(52.03125, 54.84375)","(-4.2105263157894965, 1.4035087719297996)",6,9,1940,116558.0
"{'time_range': (288, 294), 'lat_range': (46.40625, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 7}",30,1940-10-16,1940-10-22,288,294,"(288, 294)","(46.40625, 54.84375)","(-9.824561403508792, -7.719298245614056)",7,10,1940,139645.0
"{'time_range': (307, 309), 'lat_range': (40.78125, 54.84375), 'lon_range': (-2.1052631578947603, 5.614035087719271), 'heatwave_length': 3}",31,1940-11-04,1940-11-06,307,309,"(307, 309)","(40.78125, 54.84375)","(-2.1052631578947603, 5.614035087719271)",3,11,1940,903381.0
"{'time_range': (386, 390), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 5}",33,1941-01-22,1941-01-26,386,390,"(386, 390)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",5,1,1941,191705.0
"{'time_range': (404, 406), 'lat_range': (50.625, 54.84375), 'lon_range': (-0.7017543859649364, 2.8070175438596237), 'heatwave_length': 3}",35,1941-02-09,1941-02-11,404,406,"(404, 406)","(50.625, 54.84375)","(-0.7017543859649364, 2.8070175438596237)",3,2,1941,111073.0
"{'time_range': (407, 413), 'lat_range': (46.40625, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 7}",36,1941-02-12,1941-02-18,407,413,"(407, 413)","(46.40625, 54.84375)","(-9.824561403508792, -7.719298245614056)",7,2,1941,139645.0
"{'time_range': (423, 426), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",37,1941-02-28,1941-03-03,423,426,"(423, 426)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,2,1941,191705.0
"{'time_range': (434, 436), 'lat_range': (49.921875, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 3}",40,1941-03-11,1941-03-13,434,436,"(434, 436)","(49.921875, 54.84375)","(-9.824561403508792, -8.421052631578968)",3,3,1941,52251.0
"{'time_range': (477, 479), 'lat_range': (47.109375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",42,1941-04-23,1941-04-25,477,479,"(477, 479)","(47.109375, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,4,1941,127048.0
"{'time_range': (483, 485), 'lat_range': (48.515625, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 3}",43,1941-04-29,1941-05-01,483,485,"(483, 485)","(48.515625, 54.84375)","(-9.824561403508792, -8.421052631578968)",3,4,1941,68245.0
"{'time_range': (511, 513), 'lat_range': (53.4375, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 3}",45,1941-05-27,1941-05-29,511,513,"(511, 513)","(53.4375, 54.84375)","(-9.824561403508792, -8.421052631578968)",3,5,1941,14328.0
"{'time_range': (517, 519), 'lat_range': (51.328125, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",46,1941-06-02,1941-06-04,517,519,"(517, 519)","(51.328125, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,6,1941,55087.0
"{'time_range': (532, 559), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 28}",47,1941-06-17,1941-07-14,532,559,"(532, 559)","(35.859375, 54.84375)","(-9.824561403508792, 9.824561403508744)",28,6,1941,3248551.0
"{'time_range': (534, 537), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 4}",48,1941-06-19,1941-06-22,534,537,"(534, 537)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",4,6,1941,97776.0
"{'time_range': (544, 548), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 5}",49,1941-06-29,1941-07-03,544,548,"(544, 548)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",5,6,1941,97776.0
"{'time_range': (546, 548), 'lat_range': (40.078125, 46.40625), 'lon_range': (6.315789473684184, 9.824561403508744), 'heatwave_length': 3}",50,1941-07-01,1941-07-03,546,548,"(546, 548)","(40.078125, 46.40625)","(6.315789473684184, 9.824561403508744)",3,7,1941,200440.0
"{'time_range': (557, 561), 'lat_range': (49.921875, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 5}",51,1941-07-12,1941-07-16,557,561,"(557, 561)","(49.921875, 54.84375)","(-9.824561403508792, -8.421052631578968)",5,7,1941,52251.0
"{'time_range': (563, 576), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 14}",52,1941-07-18,1941-07-31,563,576,"(563, 576)","(35.859375, 54.84375)","(-9.824561403508792, 9.824561403508744)",14,7,1941,3248551.0
"{'time_range': (578, 581), 'lat_range': (49.21875, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 4}",55,1941-08-02,1941-08-05,578,581,"(578, 581)","(49.21875, 54.84375)","(-9.824561403508792, -8.421052631578968)",4,8,1941,60190.0
"{'time_range': (600, 605), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 6}",58,1941-08-24,1941-08-29,600,605,"(600, 605)","(43.59375, 54.84375)","(-9.824561403508792, -8.421052631578968)",6,8,1941,127803.0
"{'time_range': (610, 614), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 5}",60,1941-09-03,1941-09-07,610,614,"(610, 614)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",5,9,1941,97776.0
"{'time_range': (611, 613), 'lat_range': (40.078125, 45.703125), 'lon_range': (6.315789473684184, 9.824561403508744), 'heatwave_length': 3}",61,1941-09-04,1941-09-06,611,613,"(611, 613)","(40.078125, 45.703125)","(6.315789473684184, 9.824561403508744)",3,9,1941,179194.0
"{'time_range': (617, 629), 'lat_range': (35.859375, 40.078125), 'lon_range': (-6.315789473684233, -1.4035087719298485), 'heatwave_length': 13}",62,1941-09-10,1941-09-22,617,629,"(617, 629)","(35.859375, 40.078125)","(-6.315789473684233, -1.4035087719298485)",13,9,1941,202456.0
"{'time_range': (626, 633), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 8}",63,1941-09-19,1941-09-26,626,633,"(626, 633)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",8,9,1941,97776.0
"{'time_range': (629, 636), 'lat_range': (40.078125, 54.84375), 'lon_range': (-2.1052631578947603, 9.824561403508744), 'heatwave_length': 8}",64,1941-09-22,1941-09-29,629,636,"(629, 636)","(40.078125, 54.84375)","(-2.1052631578947603, 9.824561403508744)",8,9,1941,1475837.0
"{'time_range': (642, 648), 'lat_range': (40.78125, 54.84375), 'lon_range': (-2.8070175438596725, 9.824561403508744), 'heatwave_length': 7}",65,1941-10-05,1941-10-11,642,648,"(642, 648)","(40.78125, 54.84375)","(-2.8070175438596725, 9.824561403508744)",7,10,1941,1478260.0
"{'time_range': (643, 648), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 6}",66,1941-10-06,1941-10-11,643,648,"(643, 648)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",6,10,1941,97776.0
"{'time_range': (655, 660), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 1.4035087719297996), 'heatwave_length': 6}",67,1941-10-18,1941-10-23,655,660,"(655, 660)","(35.859375, 54.84375)","(-9.824561403508792, 1.4035087719297996)",6,10,1941,1856315.0
"{'time_range': (708, 714), 'lat_range': (40.078125, 54.84375), 'lon_range': (-3.5087719298245847, 9.824561403508744), 'heatwave_length': 7}",70,1941-12-10,1941-12-16,708,714,"(708, 714)","(40.078125, 54.84375)","(-3.5087719298245847, 9.824561403508744)",7,12,1941,1649465.0
"{'time_range': (801, 803), 'lat_range': (45.0, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",72,1942-03-13,1942-03-15,801,803,"(801, 803)","(45.0, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,3,1942,165343.0
"{'time_range': (826, 836), 'lat_range': (44.296875, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 11}",74,1942-04-07,1942-04-17,826,836,"(826, 836)","(44.296875, 54.84375)","(-9.824561403508792, -7.719298245614056)",11,4,1942,178442.0
"{'time_range': (830, 833), 'lat_range': (35.859375, 52.734375), 'lon_range': (-7.719298245614056, 5.614035087719271), 'heatwave_length': 4}",75,1942-04-11,1942-04-14,830,833,"(830, 833)","(35.859375, 52.734375)","(-7.719298245614056, 5.614035087719271)",4,4,1942,1995624.0
"{'time_range': (831, 835), 'lat_range': (40.078125, 43.59375), 'lon_range': (6.315789473684184, 9.824561403508744), 'heatwave_length': 5}",76,1942-04-12,1942-04-16,831,835,"(831, 835)","(40.078125, 43.59375)","(6.315789473684184, 9.824561403508744)",5,4,1942,113892.0
"{'time_range': (867, 871), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 5}",79,1942-05-18,1942-05-22,867,871,"(867, 871)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",5,5,1942,191705.0
"{'time_range': (875, 882), 'lat_range': (45.0, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 8}",81,1942-05-26,1942-06-02,875,882,"(875, 882)","(45.0, 54.84375)","(-9.824561403508792, -7.719298245614056)",8,5,1942,165343.0
"{'time_range': (882, 892), 'lat_range': (35.859375, 54.84375), 'lon_range': (-7.017543859649145, 9.824561403508744), 'heatwave_length': 11}",83,1942-06-02,1942-06-12,882,892,"(882, 892)","(35.859375, 54.84375)","(-7.017543859649145, 9.824561403508744)",11,6,1942,2784472.0
"{'time_range': (883, 886), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 4}",84,1942-06-03,1942-06-06,883,886,"(883, 886)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",4,6,1942,97776.0
"{'time_range': (911, 913), 'lat_range': (42.890625, 49.921875), 'lon_range': (-7.719298245614056, 2.8070175438596237), 'heatwave_length': 3}",85,1942-07-01,1942-07-03,911,913,"(911, 913)","(42.890625, 49.921875)","(-7.719298245614056, 2.8070175438596237)",3,7,1942,632434.0
"{'time_range': (919, 923), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 5}",87,1942-07-09,1942-07-13,919,923,"(919, 923)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",5,7,1942,191705.0
"{'time_range': (924, 928), 'lat_range': (35.859375, 45.0), 'lon_range': (-9.824561403508792, -2.1052631578947603), 'heatwave_length': 5}",88,1942-07-14,1942-07-18,924,928,"(924, 928)","(35.859375, 45.0)","(-9.824561403508792, -2.1052631578947603)",5,7,1942,665580.0
"{'time_range': (933, 936), 'lat_range': (35.859375, 49.21875), 'lon_range': (-4.912280701754408, 0.7017543859648876), 'heatwave_length': 4}",89,1942-07-23,1942-07-26,933,936,"(933, 936)","(35.859375, 49.21875)","(-4.912280701754408, 0.7017543859648876)",4,7,1942,684805.0
"{'time_range': (939, 943), 'lat_range': (37.265625, 52.03125), 'lon_range': (-9.122807017543881, 0.7017543859648876), 'heatwave_length': 5}",90,1942-07-29,1942-08-02,939,943,"(939, 943)","(37.265625, 52.03125)","(-9.122807017543881, 0.7017543859648876)",5,7,1942,1278925.0
"{'time_range': (957, 961), 'lat_range': (41.484375, 54.84375), 'lon_range': (-3.5087719298245847, 9.824561403508744), 'heatwave_length': 5}",91,1942-08-16,1942-08-20,957,961,"(957, 961)","(41.484375, 54.84375)","(-3.5087719298245847, 9.824561403508744)",5,8,1942,1472303.0
"{'time_range': (967, 992), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.122807017543881, 9.824561403508744), 'heatwave_length': 26}",92,1942-08-26,1942-09-20,967,992,"(967, 992)","(35.859375, 54.84375)","(-9.122807017543881, 9.824561403508744)",26,8,1942,3132531.0
"{'time_range': (1002, 1009), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 8}",95,1942-09-30,1942-10-07,1002,1009,"(1002, 1009)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",8,9,1942,191705.0
"{'time_range': (1020, 1022), 'lat_range': (52.03125, 54.84375), 'lon_range': (-0.7017543859649364, 1.4035087719297996), 'heatwave_length': 3}",97,1942-10-18,1942-10-20,1020,1022,"(1020, 1022)","(52.03125, 54.84375)","(-0.7017543859649364, 1.4035087719297996)",3,10,1942,43709.0
"{'time_range': (1029, 1036), 'lat_range': (50.625, 54.84375), 'lon_range': (-4.2105263157894965, 9.824561403508744), 'heatwave_length': 8}",98,1942-10-27,1942-11-03,1029,1036,"(1029, 1036)","(50.625, 54.84375)","(-4.2105263157894965, 9.824561403508744)",8,10,1942,444291.0
"{'time_range': (1031, 1033), 'lat_range': (47.109375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",99,1942-10-29,1942-10-31,1031,1033,"(1031, 1033)","(47.109375, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,10,1942,127048.0
"{'time_range': (1039, 1043), 'lat_range': (44.296875, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 5}",100,1942-11-06,1942-11-10,1039,1043,"(1039, 1043)","(44.296875, 54.84375)","(-9.824561403508792, -7.719298245614056)",5,11,1942,178442.0
"{'time_range': (1046, 1049), 'lat_range': (45.0, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 4}",101,1942-11-13,1942-11-16,1046,1049,"(1046, 1049)","(45.0, 54.84375)","(-9.824561403508792, -8.421052631578968)",4,11,1942,110229.0
"{'time_range': (1070, 1081), 'lat_range': (40.078125, 54.84375), 'lon_range': (-3.5087719298245847, 9.824561403508744), 'heatwave_length': 12}",102,1942-12-07,1942-12-18,1070,1081,"(1070, 1081)","(40.078125, 54.84375)","(-3.5087719298245847, 9.824561403508744)",12,12,1942,1649465.0
"{'time_range': (1081, 1086), 'lat_range': (50.625, 54.84375), 'lon_range': (-4.2105263157894965, 2.1052631578947114), 'heatwave_length': 6}",104,1942-12-18,1942-12-23,1081,1086,"(1081, 1086)","(50.625, 54.84375)","(-4.2105263157894965, 2.1052631578947114)",6,12,1942,199931.0
"{'time_range': (1083, 1087), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 5}",105,1942-12-20,1942-12-24,1083,1087,"(1083, 1087)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",5,12,1942,97776.0
"{'time_range': (1084, 1087), 'lat_range': (40.078125, 46.40625), 'lon_range': (5.614035087719271, 9.824561403508744), 'heatwave_length': 4}",106,1942-12-21,1942-12-24,1084,1087,"(1084, 1087)","(40.078125, 46.40625)","(5.614035087719271, 9.824561403508744)",4,12,1942,240528.0
"{'time_range': (1112, 1117), 'lat_range': (40.78125, 54.84375), 'lon_range': (-2.1052631578947603, 8.42105263157892), 'heatwave_length': 6}",107,1943-01-18,1943-01-23,1112,1117,"(1112, 1117)","(40.78125, 54.84375)","(-2.1052631578947603, 8.42105263157892)",6,1,1943,1231883.0
"{'time_range': (1124, 1127), 'lat_range': (40.78125, 54.84375), 'lon_range': (-2.1052631578947603, 9.824561403508744), 'heatwave_length': 4}",108,1943-01-30,1943-02-02,1124,1127,"(1124, 1127)","(40.78125, 54.84375)","(-2.1052631578947603, 9.824561403508744)",4,1,1943,1396134.0
"{'time_range': (1144, 1151), 'lat_range': (40.78125, 54.84375), 'lon_range': (-3.5087719298245847, 6.315789473684184), 'heatwave_length': 8}",110,1943-02-19,1943-02-26,1144,1151,"(1144, 1151)","(40.78125, 54.84375)","(-3.5087719298245847, 6.315789473684184)",8,2,1943,1149757.0
"{'time_range': (1154, 1158), 'lat_range': (40.78125, 54.84375), 'lon_range': (-4.2105263157894965, 6.315789473684184), 'heatwave_length': 5}",111,1943-03-01,1943-03-05,1154,1158,"(1154, 1158)","(40.78125, 54.84375)","(-4.2105263157894965, 6.315789473684184)",5,3,1943,1231883.0
"{'time_range': (1169, 1171), 'lat_range': (40.78125, 46.40625), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 3}",113,1943-03-16,1943-03-18,1169,1171,"(1169, 1171)","(40.78125, 46.40625)","(7.017543859649096, 9.824561403508744)",3,3,1943,141710.0
"{'time_range': (1176, 1179), 'lat_range': (40.78125, 54.84375), 'lon_range': (2.1052631578947114, 9.824561403508744), 'heatwave_length': 4}",115,1943-03-23,1943-03-26,1176,1179,"(1176, 1179)","(40.78125, 54.84375)","(2.1052631578947114, 9.824561403508744)",4,3,1943,903381.0
"{'time_range': (1186, 1193), 'lat_range': (35.859375, 54.84375), 'lon_range': (-7.719298245614056, 9.824561403508744), 'heatwave_length': 8}",116,1943-04-02,1943-04-09,1186,1193,"(1186, 1193)","(35.859375, 54.84375)","(-7.719298245614056, 9.824561403508744)",8,4,1943,2900492.0
"{'time_range': (1197, 1209), 'lat_range': (40.78125, 54.84375), 'lon_range': (-4.2105263157894965, 9.824561403508744), 'heatwave_length': 13}",117,1943-04-13,1943-04-25,1197,1209,"(1197, 1209)","(40.78125, 54.84375)","(-4.2105263157894965, 9.824561403508744)",13,4,1943,1642511.0
"{'time_range': (1198, 1202), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 5}",118,1943-04-14,1943-04-18,1198,1202,"(1198, 1202)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",5,4,1943,97776.0
"{'time_range': (1203, 1207), 'lat_range': (48.515625, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 5}",119,1943-04-19,1943-04-23,1203,1207,"(1203, 1207)","(48.515625, 54.84375)","(-9.824561403508792, -7.719298245614056)",5,4,1943,102367.0
"{'time_range': (1206, 1208), 'lat_range': (48.515625, 54.84375), 'lon_range': (-2.4424906541753444e-14, 9.824561403508744), 'heatwave_length': 3}",120,1943-04-22,1943-04-24,1206,1208,"(1206, 1208)","(48.515625, 54.84375)","(-2.4424906541753444e-14, 9.824561403508744)",3,4,1943,477712.0
"{'time_range': (1227, 1232), 'lat_range': (35.859375, 54.84375), 'lon_range': (-7.719298245614056, 9.824561403508744), 'heatwave_length': 6}",121,1943-05-13,1943-05-18,1227,1232,"(1227, 1232)","(35.859375, 54.84375)","(-7.719298245614056, 9.824561403508744)",6,5,1943,2900492.0
"{'time_range': (1231, 1233), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.719298245614008, 9.824561403508744), 'heatwave_length': 3}",122,1943-05-17,1943-05-19,1231,1233,"(1231, 1233)","(35.15625, 38.671875)","(7.719298245614008, 9.824561403508744)",3,5,1943,73332.0
"{'time_range': (1233, 1236), 'lat_range': (40.78125, 53.4375), 'lon_range': (2.8070175438596237, 9.824561403508744), 'heatwave_length': 4}",123,1943-05-19,1943-05-22,1233,1236,"(1233, 1236)","(40.78125, 53.4375)","(2.8070175438596237, 9.824561403508744)",4,5,1943,749082.0
"{'time_range': (1240, 1256), 'lat_range': (35.859375, 54.140625), 'lon_range': (-9.824561403508792, 4.210526315789448), 'heatwave_length': 17}",124,1943-05-26,1943-06-11,1240,1256,"(1240, 1256)","(35.859375, 54.140625)","(-9.824561403508792, 4.210526315789448)",17,5,1943,2248290.0
"{'time_range': (1268, 1275), 'lat_range': (35.859375, 40.78125), 'lon_range': (-7.719298245614056, -1.4035087719298485), 'heatwave_length': 8}",125,1943-06-23,1943-06-30,1268,1275,"(1268, 1275)","(35.859375, 40.78125)","(-7.719298245614056, -1.4035087719298485)",8,6,1943,302224.0
"{'time_range': (1272, 1279), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 8}",126,1943-06-27,1943-07-04,1272,1279,"(1272, 1279)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",8,6,1943,97776.0
"{'time_range': (1277, 1281), 'lat_range': (51.328125, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 5}",127,1943-07-02,1943-07-06,1277,1281,"(1277, 1281)","(51.328125, 54.84375)","(-9.824561403508792, -7.719298245614056)",5,7,1943,55087.0
"{'time_range': (1295, 1298), 'lat_range': (35.15625, 37.96875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 4}",128,1943-07-20,1943-07-23,1295,1298,"(1295, 1298)","(35.15625, 37.96875)","(7.017543859649096, 9.824561403508744)",4,7,1943,78580.0
"{'time_range': (1296, 1302), 'lat_range': (51.328125, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 7}",129,1943-07-21,1943-07-27,1296,1302,"(1296, 1302)","(51.328125, 54.84375)","(-9.824561403508792, -7.719298245614056)",7,7,1943,55087.0
"{'time_range': (1301, 1310), 'lat_range': (36.5625, 54.84375), 'lon_range': (-6.315789473684233, 9.824561403508744), 'heatwave_length': 10}",130,1943-07-26,1943-08-04,1301,1310,"(1301, 1310)","(36.5625, 54.84375)","(-6.315789473684233, 9.824561403508744)",10,7,1943,2553611.0
