extent,cluster_id,start_date,end_date,heatwave_start,heatwave_end,time_range,lat_range,lon_range,heatwave_length,month,year,spatial_extent
"{'time_range': (10960, 10968), 'lat_range': (53.4375, 54.84375), 'lon_range': (-4.2105263157894965, 2.1052631578947114), 'heatwave_length': 9}",1133,1970-01-11,1970-01-19,10960,10968,"(10960, 10968)","(53.4375, 54.84375)","(-4.2105263157894965, 2.1052631578947114)",9,1,1970,64474.0
"{'time_range': (11033, 11036), 'lat_range': (46.40625, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 4}",1136,1970-03-25,1970-03-28,11033,11036,"(11033, 11036)","(46.40625, 54.84375)","(-9.824561403508792, -8.421052631578968)",4,3,1970,93097.0
"{'time_range': (11053, 11065), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 4.210526315789448), 'heatwave_length': 13}",1137,1970-04-14,1970-04-26,11053,11065,"(11053, 11065)","(35.859375, 54.84375)","(-9.824561403508792, 4.210526315789448)",13,4,1970,2320393.0
"{'time_range': (11072, 11075), 'lat_range': (40.78125, 47.8125), 'lon_range': (1.4035087719297996, 9.824561403508744), 'heatwave_length': 4}",1138,1970-05-03,1970-05-06,11072,11075,"(11072, 11075)","(40.78125, 47.8125)","(1.4035087719297996, 9.824561403508744)",4,5,1970,525164.0
"{'time_range': (11091, 11111), 'lat_range': (35.859375, 54.84375), 'lon_range': (-8.421052631578968, 9.824561403508744), 'heatwave_length': 21}",1140,1970-05-22,1970-06-11,11091,11111,"(11091, 11111)","(35.859375, 54.84375)","(-8.421052631578968, 9.824561403508744)",21,5,1970,3016511.0
"{'time_range': (11104, 11116), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 13}",1141,1970-06-04,1970-06-16,11104,11116,"(11104, 11116)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",13,6,1970,97776.0
"{'time_range': (11118, 11123), 'lat_range': (40.078125, 54.84375), 'lon_range': (0.7017543859648876, 9.824561403508744), 'heatwave_length': 6}",1142,1970-06-18,1970-06-23,11118,11123,"(11118, 11123)","(40.078125, 54.84375)","(0.7017543859648876, 9.824561403508744)",6,6,1970,1128582.0
"{'time_range': (11137, 11139), 'lat_range': (49.921875, 54.84375), 'lon_range': (2.8070175438596237, 9.824561403508744), 'heatwave_length': 3}",1143,1970-07-07,1970-07-09,11137,11139,"(11137, 11139)","(49.921875, 54.84375)","(2.8070175438596237, 9.824561403508744)",3,7,1970,261255.0
"{'time_range': (11142, 11145), 'lat_range': (40.78125, 54.84375), 'lon_range': (-4.912280701754408, 0.7017543859648876), 'heatwave_length': 4}",1144,1970-07-12,1970-07-15,11142,11145,"(11142, 11145)","(40.78125, 54.84375)","(-4.912280701754408, 0.7017543859648876)",4,7,1970,657004.0
"{'time_range': (11152, 11155), 'lat_range': (47.109375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",1145,1970-07-22,1970-07-25,11152,11155,"(11152, 11155)","(47.109375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,7,1970,127048.0
